siteIDPartRs,datePartRs,bandNumberPartRs,typePartRs,notesPartRs
ROBIRONFL1,2014-06-12,2661-07776,P,noData
ROBIRONFL1,2014-06-12,2661-07779,P,noData
ROBIRONFL1,2014-06-21,2571-90261,P,noData
ROBIRONFL1,2014-06-22,1991-18070,P,noData
ROBIRONFL1,2014-06-30,1991-18072,P,noData
ROBIRONFL1,2014-06-30,2641-96686,P,noData
ROBIRONFL1,2014-07-05,2331-09149,P,noData
ROBIRONFL1,2014-07-07,2661-07780,P,noData
ROBIRONFL1,2014-07-22,2590-82054,P,noData
ROBIRONFL1,2014-07-22,2590-82100,P,noData
ROBIRONFL1,2014-07-23,2661-07781,P,noData
ROBIRONFL1,2014-07-27,2571-90263,P,noData
ROBIRONFL1,2014-07-30,2661-07783,P,noData
ROBIRONFL1,2015-03-01,2571-90263,P,noData
ROBIRONFL1,2015-03-06,2331-09151,P,noData
ROBIRONFL1,2015-03-09,2590-82100,P,noData
ROBIRONFL1,2015-04-03,2590-82054,P,noData
ROBIRONFL1,2015-04-09,2590-82100,P,noData
ROBIRONFL1,2015-05-02,2571-90263,P,noData
ROBIRONFL1,2015-05-02,2590-82100,P,noData
ROBIRONFL1,2015-05-04,2661-07779,P,noData
ROBIRONFL1,2015-10-06,2641-96752,P,2641-96752
ROBIRONFL1,2015-10-19,2641-96684,P,2641-96684
ROBIRONFL1,2015-10-26,2331-09151,P,2331-09051
ROBIRONFL1,2015-10-26,2641-96750,P,"2641-96750

Using only on leg =deformity

Bill is crossed, what appears to be exposed feather quills around the face.

Eating B/o sunflower seed with other Cardinals"
ROBIRONFL1,2015-11-13,2710-54228,P,"2710-54228

"
ROBIRONFL1,2015-11-20,2331-09151,P,2331-09151
ROBIRONFL1,2015-11-20,2641-96687,P,2541-96687
ROBIRONFL1,2015-12-05,2641-96681,P,"2641-96681

DAILY VISITOR"
ROBIRONFL1,2015-12-18,2641-96682,P,"2641-96682

DAILY VISITOR"
ROBIRONFL1,2015-12-19,2331-09151,P,2331-09151
ROBIRONFL1,2015-12-19,2641-96685,P,2641-96685
ROBIRONFL1,2015-12-21,2641-96754,P,"2641-96754

SEEN DAILY"
ROBIRONFL1,2015-12-22,2661-31394,P,"2661-31394

COMMON VISITOR"
ROBIRONFL1,2015-12-23,2661-31398,P,"2661-31398

OMNI PRESENT"
ROBIRONFL1,2015-12-25,2641-96753,P,"2641-96753

SEEN DAILY"
ROBIRONFL1,2015-12-29,1991-18075,P,1991-18076
ROBIRONFL1,2015-12-29,2590-82054,P,"2590-82054

VERY FREQUENT VISITOR"
ROBIRONFL1,2015-12-29,2590-82100,P,"2590-82100

REGULAR VISITOR"
ROBIRONFL1,2015-12-29,2641-96748,P,2641-96748
ROBIRONFL1,2015-12-30,2661-31392,P,"2661-31392

2015 SAW A MARKED DECLINE IN THE NUMBER OF TITMICE IN MY HABITAT"
ROBIRONFL1,2016-01-05,2331-09151,P,noData
ROBIRONFL1,2016-01-08,2641-96681,P,noData
ROBIRONFL1,2016-01-08,2641-96683,P,noData
ROBIRONFL1,2016-01-08,2641-96685,P,noData
ROBIRONFL1,2016-01-08,2661-31393,P,noData
ROBIRONFL1,2016-01-15,2661-31399,P,noData
ROBIRONFL1,2016-01-16,2590-82054,P,noData
ROBIRONFL1,2016-01-16,2641-96750,P,noData
ROBIRONFL1,2016-01-18,2641-96754,P,noData
ROBIRONFL1,2016-01-18,2661-31398,P,noData
ROBIRONFL1,2016-01-20,2641-96747,P,noData
ROBIRONFL1,2016-01-20,2641-96748,P,noData
ROBIRONFL1,2016-01-20,2661-31394,P,noData
ROBIRONFL1,2016-01-20,2661-31397,P,noData
ROBIRONFL1,2016-01-21,2590-82100,P,noData
ROBIRONFL1,2016-01-23,2641-96752,P,noData
ROBIRONFL1,2016-02-04,2661-31394,P,noData
ROBIRONFL1,2016-02-05,2641-96685,P,noData
ROBIRONFL1,2016-02-08,2661-31392,P,noData
ROBIRONFL1,2016-02-09,2590-82054,P,noData
ROBIRONFL1,2016-02-09,2641-96681,P,noData
ROBIRONFL1,2016-02-10,2641-96749,P,noData
ROBIRONFL1,2016-02-12,1991-18072,P,noData
ROBIRONFL1,2016-02-14,2661-31399,P,noData
ROBIRONFL1,2016-02-15,2641-96748,P,noData
ROBIRONFL1,2016-02-18,2590-82100,P,noData
ROBIRONFL1,2016-02-24,2331-09151,P,noData
ROBIRONFL1,2016-02-24,2641-96683,P,noData
ROBIRONFL1,2016-02-24,2641-96686,P,noData
ROBIRONFL1,2016-02-24,2641-96750,P,noData
ROBIRONFL1,2016-02-24,2641-96754,P,noData
ROBIRONFL1,2016-02-24,2661-31398,P,noData
ROBIRONFL1,2016-02-26,2641-96747,P,noData
ROBIRONFL1,2016-03-06,2641-96756,P,noData
ROBIRONFL1,2016-03-07,2641-96755,P,noData
ROBIRONFL1,2016-03-08,2661-31398,P,noData
ROBIRONFL1,2016-03-09,2661-31399,P,noData
ROBIRONFL1,2016-03-18,2331-09151,P,noData
ROBIRONFL1,2016-03-20,2590-82100,P,noData
ROBIRONFL1,2016-03-20,2661-31392,P,noData
ROBIRONFL1,2016-03-21,2641-96750,P,noData
ROBIRONFL1,2016-03-24,1991-18072,P,noData
ROBIRONFL1,2016-03-24,2590-82054,P,noData
ROBIRONFL1,2016-03-28,2641-96747,P,noData
ROBIRONFL1,2016-03-28,2641-96748,P,noData
ROBIRONFL1,2016-03-28,2641-96754,P,noData
ROBIRONFL1,2016-03-30,2641-96747,P,noData
ROBIRONFL1,2016-04-05,2590-82054,P,noData
ROBIRONFL1,2016-04-05,2590-82100,P,noData
ROBIRONFL1,2016-04-06,2641-96749,P,noData
ROBIRONFL1,2016-04-27,2590-82051,P,noData
ROBIRONFL1,2016-04-27,2641-96752,P,Also seen 5/13/16 & 7/28/16
ROBIRONFL1,2016-04-29,2730-24905,P,"Has a Bad left foot, not seen lately."
ROBIRONFL1,2016-05-02,2641-96748,P,noData
ROBIRONFL1,2016-05-10,1991-18072,P,noData
ROBIRONFL1,2016-05-21,2661-31394,P,noData
ROBIRONFL1,2016-06-04,2661-31398,P,Had bad left leg (possible banding injury) found dead by next door neighbor. 6/04/16. Last seen by me 5/02/16.
ROBIRONFL1,2016-06-10,2641-96749,P,noData
ROBIRONFL1,2016-07-07,2661-31392,P,Also seen 5/14/16
ROBIRONFL1,2016-07-08,2331-09151,P,noData
ROBIRONFL1,2016-07-21,2661-31394,P,ALSO SEEN 8/08/16
ROBIRONFL1,2016-07-31,1991-18075,P,noData
ROBIRONFL1,2016-08-07,2641-96685,P,also seen 4/28/16  & 5/18/16
ROBIRONFL1,2016-08-08,2590-82100,P,Also seen 4/27/16
ROBIRONFL1,2016-08-09,2331-09151,P,noData
ROBIRONFL1,2016-08-09,2590-82054,P,Also See 4/29/16  &  5/10/16
ROBIRONFL1,2016-08-09,2641-96748,P,noData
ROBIRONFL1,2016-08-09,2641-96749,P,noData
ROBIRONFL1,2016-09-04,2641-96685,P,2641-96685
ROBIRONFL1,2016-10-06,2641-96749,P,2641-96749
ROBIRONFL1,2016-10-15,2661-31392,P,2661-31392
ROBIRONFL1,2016-12-06,1991-18075,P,1991-18075
ROBIRONFL1,2017-01-21,2331-09151,P,noData
ROBIRONFL1,2017-01-25,2641-96752,P,2641-96752
ROBIRONFL1,2017-01-30,2590-82054,P,2590-82054
ROBIRONFL1,2017-02-03,2641-96748,P,2641-96748
ROBIRONFL1,2017-02-09,2541-40472,P,2641-40472
ROBIRONFL1,2017-05-18,2641-96753,P,2641-96753
ROBIRONFL1,2017-05-20,2571-90261,P,2571-90261
ROBIRONFL1,2017-05-28,2331-09151,P,2331-09151
ROBIRONFL1,2017-05-28,2641-96748,P,2641-96748
ROBIRONFL1,2017-06-08,2730-24938,P,2730-24938
ROBIRONFL1,2017-06-11,2590-82051,P,2590-82051
ROBIRONFL1,2017-06-11,2641-96687,P,2541-96687
ROBIRONFL1,2017-06-14,2331-09151,P,2331-09151
ROBIRONFL1,2017-06-15,2641-96685,P,2641-96686
ROBIRONFL1,2017-06-20,2711-54346,P,2711-54346
ROBIRONFL1,2017-07-04,2701-39136,P,"2701-39136

Seen daily"
ROBIRONFL1,2017-07-04,2730-24937,P,2730-24937
ROBIRONFL1,2017-07-06,2541-40472,P,"2641-40472

Re-sighted daily"
ROBIRONFL1,2017-07-06,2661-31393,P,2661-31393
ROBIRONFL1,2017-07-08,2701-39137,P,2701-39137
ROBIRONFL1,2017-07-10,2590-82054,P,2590-82054
ROBIRONFL1,2017-07-14,2641-96752,P,2641-96752
ROBIRONFL1,2017-07-16,2711-54347,P,2711-54347
ROBIRONFL1,2017-07-19,2331-09151,P,2331-09151
ROHRSALMD1,2001-12-15,791-17806,P,"yearColumn = 2000, banded 13 June; yearColumn = 2001, resighted December"
ROHRSALMD1,2002-03-15,1141-05796,P,"yearColumn = 2001, banded 15 May; yearColumn = 2002, resighted March"
ROHRSALMD1,2002-03-15,791-17046,P,"yearColumn = 2001, banded 15 May; yearColumn = 2002, resighted late March"
ROHRSALMD1,2002-07-15,1141-05718,P,"yearColumn = 2000, banded 13 June; yearColumn = 2002, resighted 15 July"
ROHRSALMD1,2002-07-15,791-17032,P,"yearColumn = 2001, banded 8 May; yearColumn = 2002, resighted 15 July; yearColumn = 2005, resighted by participant 7 July"
ROHRSALMD1,2005-07-07,791-17032,P,"yearColumn = 2001, banded 8 May; yearColumn = 2002, resighted 15 July; yearColumn = 2005, resighted by participant 7 July"
ROHRSALMD1,2007-04-15,2350-07895,P,"yearColumn = 2004, banded; yearColumn = 2007, found dead by participant in spring"
ROSEJOSMA1,2015-01-27,1891-11047,P,noData
ROSEJOSMA1,2015-02-15,2371-04368,D,Killed by cat
ROSEJOSMA1,2015-05-06,2651-17112,P,noData
ROSEJOSMA1,2015-05-07,2651-17111,P,noData
ROSEJOSMA1,2015-10-21,1891-11047,P,noData
ROSEJOSMA1,2016-10-22,2720-99619,P,noData
ROSETRANC1,2015-08-06,2711-64150,P,noData
ROSETRANC1,2015-09-20,2711-64150,P,noData
ROSETRANC1,2016-11-23,2711-64150,P,"Nelson, yes I named him. Spotted at feeder, ~ 3 pm, containing black sunflower seed & suet cake. Was excited to see him as rarely see at feeder!"
ROSETRANC1,2017-02-05,2180-92547,P,viewed at feeder with black sunflower seed
ROSETRANC1,2017-03-16,2180-92547,P,Sighted at black sunflower feeder w/ suet
ROSETRANC1,2017-03-26,2711-64150,P,At black sunflower seed feeder
ROSETRANC1,2017-07-15,2711-64150,P,Sighted on oak tree containing feeder with black sunflower seed
ROSETRANC1,2017-08-05,2711-64150,P,Wren on oak tree next to black sunflower seed feeder
RUDDLINNC1,2016-06-16,0951-61600,P,noData
RUDDLINNC1,2016-08-01,2180-92437,P,noData
SACHLARPA1,2014-02-14,2661-08050,P,noData
SACHLARPA1,2014-02-14,2730-26346,P,noData
SACHLARPA1,2014-09-14,2331-40229,P,noData
SACHLARPA1,2014-09-16,2710-54105,P,noData
SACHLARPA1,2014-09-21,2730-26346,P,"noData; Band Number 2730-26347
Banded 6-29-2014

Bird had no band on left leg. I entered a color in order to be able to submit the report."
SACHLARPA1,2014-09-28,2331-40228,P,noData
SACHLARPA1,2014-09-28,2641-64004,P,noData
SACHLARPA1,2014-09-28,2710-54107,P,noData
SACHLARPA1,2014-10-19,2641-64004,P,noData
SACHLARPA1,2014-10-19,2710-54107,P,noData
SACHLARPA1,2014-10-28,2710-54108,P,noData; Hybrid
SACHLARPA1,2014-12-28,2331-40228,P,noData
SACHLARPA1,2014-12-28,2331-40229,P,noData
SACHLARPA1,2014-12-28,2661-08050,P,noData
SACHLARPA1,2014-12-28,2710-54107,P,noData
SACHLARPA1,2015-02-14,2661-08050,P,noData
SACHLARPA1,2015-02-14,2730-26346,P,"NO BAND on Left leg. Color entered to submit report.

Banded on 6-29-2014

Band # 2730-26347"
SACHLARPA1,2016-01-01,2661-08050,P,noData
SACHLARPA1,2016-01-06,2331-40229,P,noData
SACHLARPA1,2016-02-13,2711-77401,P,noData
SACHLARPA1,2016-02-14,2331-40229,P,noData
SACHLARPA1,2016-03-19,1352-46370,P,noData
SACHLARPA1,2017-01-01,2730-26346,P,This bird had NO left leg band. The band number for thsi bird is 2750-63976.
SACHLARPA1,2017-01-02,2750-63977,P,Band Number 2750-63977
SACHLARPA1,2017-01-07,2750-63974,P,noData
SACHLARPA1,2017-01-16,2661-08050,P,noData
SACHLARPA1,2017-01-16,2750-63975,P,noData
SACHLARPA1,2017-02-12,2711-77401,P,noData
SADLCHRPA1,2015-05-16,2430-14773,P,Cach Band # 2430-14773
SADLCHRPA1,2015-12-27,2430-14773,P,noData
SADLCHRPA1,2015-12-27,2710-54025,P,Cach Band #2430-14773
SADLCHRPA1,2015-12-27,2711-77462,P,NA; Sosp band 2711-77462
SADLCHRPA1,2016-02-17,2711-77458,P,SOSP band #2711-77458
SADLCHRPA1,2016-02-23,2711-77462,P,SOSP band 2711-77462
SADLCHRPA1,2016-04-03,1352-46397,P,Amro band 1352-46397
SADLCHRPA1,2016-04-07,1352-46397,P,AMRO Band #1352-46397
SADLCHRPA1,2016-04-07,2711-77462,P,Sosp band 2711-77462
SADLCHRPA1,2016-05-16,2430-14773,P,Cach Band #2430-14773
SADLCHRPA1,2017-01-18,2741-54766,P,Sosp band # 2741-54766
SADLCHRPA1,2017-01-18,2741-54772,P,Sosp band 2741-54772
SADLCHRPA1,2017-01-29,2741-54765,P,SOSP Band #2741-54765
SADLCHRPA1,2017-01-31,2741-54768,P,SOSP BAND #2741-54768
SADLCHRPA1,2017-03-24,1352-45949,P,Band 1352-45949 banded 7-17-16 female
SADLCHRPA1,2017-06-06,2741-54772,P,"Band 2741-54772
"
SALAJENMD1,2010-06-23,2301-56809,P,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALAJENMD1,2010-06-23,2411-37423,P,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALAJENMD1,2010-07-24,2301-56809,P,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALAJENMD1,2010-07-24,2411-37422,P,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 24 July"
SALAJENMD1,2010-07-24,2411-37423,P,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALAJENMD1,2010-08-21,2301-56809,P,"yearColumn = 2008, banded 6/9; yearColumn = 2009, resighted 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALAJENMD1,2010-08-21,2411-37423,P,"yearColumn = 2009, banded 7/9; yearColumn = 2010, resighted by participant 23 June, 24 July, 21 Aug"
SALITYLNC1,2015-08-09,2180-92570,P,noData
SALITYLNC1,2015-08-09,2180-92571,P,noData
SALITYLNC1,2015-08-09,2180-92572,P,noData
SALITYLNC1,2015-08-09,951-61583,P,noData
SALITYLNC1,2015-08-11,951-61586,P,noData
SALITYLNC1,2015-08-22,2711-64167,P,noData
SALITYLNC1,2015-09-01,2180-92572,P,noData
SALITYLNC1,2015-09-01,951-61584,P,noData
SALITYLNC1,2015-09-12,2711-64167,P,noData
SALITYLNC1,2015-09-12,2711-64168,P,noData
SALITYLNC1,2015-10-10,2180-92570,P,noData
SALITYLNC1,2015-10-10,2180-92572,P,noData
SALITYLNC1,2015-10-10,2180-92574,P,noData
SALITYLNC1,2015-10-24,2180-92571,P,noData
SALITYLNC1,2015-11-01,2180-92571,P,noData
SALITYLNC1,2015-11-01,2180-92572,P,noData
SALITYLNC1,2015-11-01,2711-64167,P,noData
SALITYLNC1,2015-11-21,2180-92570,P,noData
SALITYLNC1,2015-11-22,2711-64168,P,noData
SALITYLNC1,2015-12-25,2711-64168,P,noData
SALITYLNC1,2015-12-28,2180-92571,P,noData
SALITYLNC1,2016-01-03,2180-92570,P,noData
SALITYLNC1,2016-01-03,2180-92572,P,noData
SALITYLNC1,2016-01-10,2711-64168,P,noData
SALITYLNC1,2016-01-17,2711-64167,P,noData
SALITYLNC1,2016-02-06,2180-92572,P,noData
SALITYLNC1,2016-02-07,2711-64168,P,noData
SALITYLNC1,2016-03-19,2180-92572,P,noData
SALITYLNC1,2016-03-19,2711-64167,P,noData
SALITYLNC1,2016-03-19,2711-64168,P,noData
SALITYLNC1,2016-04-01,2711-64167,P,noData
SALITYLNC1,2016-04-16,2711-64168,P,noData
SALITYLNC1,2016-04-17,2180-92572,P,noData
SALITYLNC1,2016-05-01,2180-92571,P,noData
SALITYLNC1,2016-05-01,2711-64167,P,noData
SALITYLNC1,2016-05-01,2711-64168,P,noData
SALITYLNC1,2016-05-29,2180-92572,P,noData
SALITYLNC1,2016-06-01,2711-64167,P,noData
SALITYLNC1,2016-06-08,2180-92572,P,noData
SALITYLNC1,2016-06-08,2711-64168,P,noData
SALITYLNC1,2016-10-17,2711-64168,P,noData
SALITYLNC1,2016-11-06,2180-92571,P,noData
SALITYLNC1,2016-11-19,2711-64168,P,noData
SALITYLNC1,2016-12-09,2180-92571,P,noData
SALITYLNC1,2016-12-09,2711-64167,P,noData
SALITYLNC1,2016-12-09,2711-64168,P,noData
SALITYLNC1,2017-01-07,2180-92571,P,noData
SALITYLNC1,2017-01-07,2711-64167,P,noData
SALITYLNC1,2017-02-25,2711-64167,P,noData
SALITYLNC1,2017-05-25,951-61584,P,First re-sighting ever of this bird - feeding a juvenile.
SALOSHEMD1,2003-02-17,1141-05743,P,"yearColumn = 2000, banded 29 june; yearColumn = 2002, resighted 22 May; yearColumn = 2003, resighted 17 Feb"
SALOSHEMD1,2003-05-15,1721-48508,P,"yearColumn = 2001, banded 25 June; yearColumn = 2003, resighted by participant 15 May"
SALOSHEMD1,2007-06-01,4501-87449,P,"yearColumn = 2006, banded 13 July; yearColumn = 2007, resighted by participant 1 June; yearColumn = 2008, resighted by participant 15 May; yearColumn = 2009, resighted 6/22 by ND"
SALOSHEMD1,2008-03-15,1951-41109,P,"yearColumn = 2005, banded 8 June; yearColumn = 2008, resighted by participant; yearColumn = 2009, resighted 6/22"
SALOSHEMD1,2008-05-15,4501-87449,P,"yearColumn = 2006, banded 13 July; yearColumn = 2007, resighted by participant 1 June; yearColumn = 2008, resighted by participant 15 May; yearColumn = 2009, resighted 6/22 by ND"
SALOSHEMD1,2011-03-25,2421-11622,P,"yearColumn = 2010, Captured 6/8; yearColumn = 2011, resighted by participant 3/25/2011, 10/11/2011; yearColumn = 2012, Resighted by participant 5/30/2012; yearColumn = 2014, resighted 7/1/14 on NN visit"
SALOSHEMD1,2011-10-11,2421-11622,P,"yearColumn = 2010, Captured 6/8; yearColumn = 2011, resighted by participant 3/25/2011, 10/11/2011; yearColumn = 2012, Resighted by participant 5/30/2012; yearColumn = 2014, resighted 7/1/14 on NN visit"
SALOSHEMD1,2011-12-03,2610-37317,P,"yearColumn = 2010, Captured 6/8; yearColumn = 2011, resighted by participant 12/3/2011; yearColumn = 2012, Recaptured 5/31/2012"
SALOSHEMD1,2012-05-30,2421-11622,P,"yearColumn = 2010, Captured 6/8; yearColumn = 2011, resighted by participant 3/25/2011, 10/11/2011; yearColumn = 2012, Resighted by participant 5/30/2012; yearColumn = 2014, resighted 7/1/14 on NN visit"
SALOSHEMD1,2014-07-11,2441-96385,P,I just wanted to let Mandy know that I saw this bird of undetermined sex which she had banded on 7/1. It was carrying  nesting material around the yard and singing with its beak full. I later discovered a carolina wren nest -- probably one of their famous dummy nests -- in my herb box right outside the kitchen door. A beautifully built nest that I will definitely show the grandchildren when they come later this week.
SALOSHEMD1,2016-01-22,2711-77622,P,noData
SALOSHEMD1,2016-01-26,2421-11622,P,noData
SALOSHEMD1,2016-06-22,2651-47665,P,noData
SALOSHEMD1,2016-10-03,2421-11622,P,"JLM: Participant entered the band combo as R,BK/A"
SALOSHEMD1,2017-03-15,2711-77004,P,noData
SANFCARMD1,2004-03-15,1751-51934,P,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted 14 May; yearColumn = 2003, resighted 12 May; yearColumn = 2004, resighted by participant; yearColumn = 2005, resighted 31 May"
SANFCARMD1,2004-03-15,1801-77805,P,"yearColumn = 2003, Banded May 12; yearColumn = 2004, resighted by participant"
SANFCARMD1,2008-06-15,2400-00678,P,"yearColumn = 2007, Banded 21 May; yearColumn = 2008, resighted by participant 06/08"
SANFCARMD1,2010-06-09,2411-37108,P,"yearColumn = 2009, banded 6/6/09; yearColumn = 2010, resighted 6/9/10 by participant; missing black band; yearColumn = 2012, recaptured 5/30/2012"
SCHILYDMD1,2007-03-15,2241-18007,P,"yearColumn = 2005, banded 21 June; yearColumn = 2007, Resighted by participant"
SCHLROBMD1,2007-05-02,2350-07896,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
SCHLROBMD1,2007-08-08,2350-07896,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
SCHLROBMD1,2007-12-18,2350-07896,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
SCHLROBMD1,2008-04-02,1801-77847,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May; yearColumn = 2008, resighted by participant 17 Nov, 2 April"
SCHLROBMD1,2008-11-17,1801-77847,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May; yearColumn = 2008, resighted by participant 17 Nov, 2 April"
SCHLROBMD1,2009-02-05,2350-07896,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
SCHLROBMD1,2009-02-25,2590-82505,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2010, resighted by participant 2/25/10"
SCHLROBMD1,2009-04-05,2350-07896,P,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
SCHLROBMD1,2010-02-25,2411-37207,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2010, resighted by participant 2/25"
SCHLROBMD1,2011-11-16,2251-80374,P,"yearColumn = 2010, banded 7/12; yearColumn = 2011, Resight by participant 11/16/2011"
SCHLROBMD1,2012-02-02,1951-41057,P,"yearColumn = 2007, banded 2 May; yearColumn = 2009, recaptured 5/15/2009; yearColumn = 2013, Resighted by participant 2/2/13"
SCHLROBMD1,2012-02-02,2590-82502,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2013, Resighted by participant 2/2/13"
SCHLROBMD1,2012-02-07,2421-34691,P,"yearColumn = 2012, Banded 7/10/2012; yearColumn = 2013, Resighted by participant 2/7/2013"
SCHLROBMD1,2012-02-14,2441-14190,P,"yearColumn = 2012, Banded 7/10/2012; yearColumn = 2013, Resighted by participant 2/14/13"
SCHLROBMD1,2012-02-14,2441-14191,P,"yearColumn = 2012, Banded 7/10/2012; yearColumn = 2013, Resighted by participant 2/14/13"
SCHLROBMD1,2012-02-23,2411-37204,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2010, recap 7/12; yearColumn = 2013, Resighted by participant 2/23/13"
SCHLROBMD1,2012-10-18,2250-24635,P,"yearColumn = 2002, banded 22 July; recap 17 Sept; yearColumn = 2012, Resighted by participant 10/18/12"
SCHLROBMD1,2012-12-18,791-17044,P,"yearColumn = 2001, banded 15 May; yearColumn = 2012, Resighted by participant 12/18/12"
SCHLROBMD1,2012-12-29,2411-37209,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2012, Resighted by participant 12/29/12"
SCHLROBMD1,2013-01-30,2411-37205,P,"yearColumn = 2009, banded 5/15/2009; yearColumn = 2014, Resighted by participant 1/30/2014"
SCHLROBMD1,2013-03-07,2460-22951,P,"yearColumn = 2008, banded 19 june; yearColumn = 2013, Resighted by participant 3/7/13"
SCHLROBMD1,2013-04-07,2590-82019,P,"yearColumn = 2012, Banded 7/10/2012; yearColumn = 2013, Resighted by participant 4/7/13"
SEVEMARPA1,2015-08-17,2710-54071,P,noData
SEVEMARPA1,2015-08-24,2771-77322,P,noData
SEVEMARPA1,2015-09-21,2710-54071,P,noData
SEVEMARPA1,2015-11-24,1352-45916,P,noData
SEVEMARPA1,2016-02-21,1352-45917,P,Seen multiple times - February was the last time.
SEVEMARPA1,2016-03-08,1352-45918,P,noData
SEVEMARPA1,2016-03-08,2771-77322,P,noData
SEVEMARPA1,2016-04-09,1352-45918,P,noData
SEVEMARPA1,2017-06-01,1352-45916,P,noData
SEVEMARPA1,2017-06-01,2771-77320,P,noData
SEVEMARPA1,2017-07-15,1352-45918,P,we see this guy a lot
SHAIKAIPA1,2015-09-18,2750-64076,P,noData
SHAIKAIPA1,2017-02-13,2750-64078,P,"just guessing the site code... our address is 210 Sunridge Road PIttsburgh, PA
"
SHAIKAIPA1,2017-03-08,2750-64078,P,noData
SHERNYLGA1,2014-07-20,2661-31803,P,noData
SHERNYLGA1,2014-07-20,2710-53757,P,noData
SHERNYLGA1,2015-04-28,2641-63393,P,noData
SHERNYLGA1,2016-04-27,1292-64371,P,seen in the yard quite often
SHERNYLGA1,2017-06-05,1342-16702,P,"Bird eating suet, seemed well
Banded 4/28/2015"
SILLSCOMD1,2013-06-13,2571-90205,P,"yearColumn = 2012, Banded 7/25/2012; yearColumn = 2013, resighted by participant 6/13"
SILLSCOMD1,2013-07-15,2540-62922,P,"yearColumn = 2008, banded_7/7; yearColumn = 2013, resighted by participant summer"
SILLSCOMD1,2013-07-15,2590-82034,P,"yearColumn = 2012, Banded 7/25/2012; yearColumn = 2013, resighted by participant summer"
SIMPEDWNC1,2015-07-06,2180-92550,P,noData
SIMPEDWNC1,2015-07-09,951-61553,P,noData
SIMPEDWNC1,2015-07-25,951-61563,P,noData
SIMPEDWNC1,2015-08-07,951-61561,P,noData
SIMPEDWNC1,2015-09-09,2180-92550,P,noData
SIMPEDWNC1,2015-09-10,2180-92550,P,noData
SIMPEDWNC1,2015-09-25,951-61563,P,noData
SIMPEDWNC1,2015-09-30,2180-92550,P,noData
SIMPEDWNC1,2016-02-20,951-61553,P,noData
SIMPEDWNC1,2016-05-20,0851-39944,P,noData
SIMPEDWNC1,2016-05-22,1352-92502,P,noData
SIMPEDWNC1,2016-05-22,2711-64180,P,noData
SIMPEDWNC1,2016-05-23,0851-39940,N,noData
SIMPEDWNC1,2016-05-25,0851-39945,P,noData
SIMPEDWNC1,2016-05-26,1352-92502,N,noData
SINGDADMD1,2012-06-12,2421-11752,P,"yearColumn = 2010, banded 6/28/10; yearColumn = 2012, resighted by participant and kam 6/12/2012; yearColumn = 2013, resighted 6/26/2013"
SOLIAPRMD1,2013-08-08,2341-30389,P,"yearColumn = 2012, captured 7/26/2012; yearColumn = 2013, resighted 8/8/2013; yearColumn = 2015, Resighted 7/16/15"
SOLOJACPA1,2015-08-10,2711-77247,P,"JLM: participant entered y,pk/r but the color combo that matches with the band number that the participant gave is a,p/r. Participant: Where an X is on the data sheet, I take that as no band._x000D_ Only 1 Song Sparrow was banded. Its band # was 2711-77247."
STANJEFMD1,2005-05-09,8001-21348,P,"yearColumn = 2002, band 21 June, resight 22 Sept; yearColumn = 2005, resighted by participant 9 May"
